Denver County,
Date,Cases
3/17/2020,38
3/18/2020,43
3/19/2020,49
3/20/2020,67
3/21/2020,97
3/22/2020,125
3/23/2020,148
3/24/2020,176
3/25/2020,214
3/26/2020,262
3/27/2020,312
3/28/2020,367
3/29/2020,408
3/30/2020,465
3/31/2020,539
4/1/2020,586
4/2/2020,643
4/3/2020,716
4/4/2020,769
4/5/2020,825
4/6/2020,847
4/7/2020,884
4/8/2020,927
4/9/2020,1031
4/10/2020,1113
4/11/2020,1182
4/12/2020,1247
4/13/2020,1346
4/14/2020,1402
4/15/2020,1468
4/16/2020,1549
4/17/2020,1636
4/18/2020,1723
4/19/2020,1784
4/20/2020,1880
4/21/2020,2004
4/22/2020,2071
4/23/2020,2172
4/24/2020,2385
4/25/2020,2487
4/26/2020,2583
4/27/2020,2682
4/28/2020,2791
4/29/2020,2890
4/30/2020,3001
5/1/2020,3092
5/2/2020,3222
5/3/2020,3345
5/4/2020,3428
